# submitted_id	current_id	converted_id	current_symbol
l(3)62Cb[1]	FBal0009675	FBgn0004869	l(3)62Cb
l(2)24Ae[5-77]	FBal0134074	FBgn0061505	l(2)24Ae
unc[9]	FBal0017595	FBgn0003950	unc
Abd-B[HCJ199]	FBal0119719	FBgn0000015	Abd-B
Taf6[GD10817]	FBal0208714	FBgn0010417	Taf6
cel[1]	FBal0001577	FBgn0000282	cel
Scer\GAL4[AG1]	FBal0141538	FBgn0014445	Scer\GAL4
l(2)57Cc[4]	FBal0009133	FBgn0002097	l(2)57Cc
l(3)R52[1]	FBal0011091	FBgn0005237	l(3)R52
l(3)95Ca[S5]	FBal0097986	FBgn0021779	l(3)95Ca
htl[d07110]	FBal0159151	FBgn0010389	htl
ccw[1]	FBal0001564	FBgn0000271	ccw
bt[l-q]	FBal0027999	FBgn0005666	bt
FKBP59[k08408]	FBal0064301	FBgn0029174	FKBP59
mys[b33]	FBal0178747	FBgn0004657	mys
pvt[1]	FBal0014093	FBgn0003170	pvt
drosha[21K11]	FBal0268190	FBgn0026722	drosha
v[Ee21]	FBal0059779	FBgn0003965	v
H15[GD12818]	FBal0207249	FBgn0016660	H15
jeb[-c1]	FBal0127957	FBgn0086677	jeb
Ten-m[05301a]	FBal0090383	FBgn0004449	Ten-m
Abd-B::Dfd[HD.hs]	FBal0047980	FBgn0012299	Abd-B::Dfd
l(3)85Ei[1]	FBal0010275	FBgn0005573	l(3)85Ei
l(2)38De[45]	FBal0091366	FBgn0025171	l(2)38De
pigs[C1]	FBal0269499	FBgn0029881	pigs
MESK2[08882]	FBal0043385	FBgn0043070	MESK2
l(3)68Bb[h11]	FBal0043762	FBgn0002235	l(3)68Bb
Ptp69D[12]	FBal0152286	FBgn0014007	Ptp69D
for[CB02956]	FBal0211984	FBgn0000721	for
l(3)gl[1]	FBal0010871	FBgn0005208	l(3)gl
kn[col-3]	FBal0097025	FBgn0001319	kn
frac[Delta2]	FBal0266871	FBgn0035798	frac
psq[Delta18]	FBal0046319	FBgn0263102	psq
btl[788]	FBal0196817	FBgn0005592	btl
dob[EY05880]	FBal0161269	FBgn0030607	dob
pb[04498]	FBal0009511	FBgn0051481	pb
mei-S332[04]	FBal0215475	FBgn0002715	mei-S332
l(2)k07803[k07803]	FBal0064368	FBgn0022072	l(2)k07803
Nos[1]	FBal0295528	FBgn0011676	Nos
alc[1]	FBal0043573	FBgn0260972	alc
ten[1]	FBal0016756	FBgn0003681	ten
l(3)S022231b[S022231b]	FBal0100156	FBgn0028196	l(3)S022231b
svp[S086107]	FBal0082200	FBgn0003651	svp
mit(1)11[1]	FBal0012286	FBgn0002761	mit(1)11
CkIIalpha[Tik]	FBal0141857	FBgn0264492	CkIIalpha
Oamb[96]	FBal0152334	FBgn0024944	Oamb
gl[51k]	FBal0005047	FBgn0004618	gl
l(3)03670[S096601]	FBal0099895	FBgn0010808	l(3)03670
rr[55i]	FBal0062485	FBgn0020785	rr
CG4936[08]	FBal0215539	FBgn0038768	CG4936
E(var)303[1]	FBal0003359	FBgn0000604	E(var)303
Fer2LCH[02545]	FBal0043611	FBgn0015221	Fer2LCH
Abd-B::Dfd[pDM30hs]	FBal0036297	FBgn0012299	Abd-B::Dfd
yrt[87Ek-6]	FBal0010542	FBgn0004049	yrt
l(1)air16[a]	FBal0175624	FBgn0001578	l(1)air16
smid[GL72]	FBal0264948	FBgn0016983	smid
CG32676[EY09779]	FBal0161602	FBgn0052676	CG32676
l(3)04629[S000624b]	FBal0082778	FBgn0010844	l(3)04629
l(3)S083207[S083207]	FBal0129623	FBgn0060653	l(3)S083207
ss[f07846]	FBal0158607	FBgn0003513	ss
G9a[RG5]	FBal0219056	FBgn0040372	G9a
Rcom\RA[cs.hs.sev]	FBal0063084	FBgn0014450	Rcom\RA
elyC[1]	FBal0003676	FBgn0000574	elyC
Bap60[GG01131]	FBal0248827	FBgn0025463	Bap60
Su(var)209[1]	FBal0030286	FBgn0003610	Su(var)209
tho2[macadamia-46.3]	FBal0287858	FBgn0031390	tho2
l(3)89Bn[M2915]	FBal0046082	FBgn0016025	l(3)89Bn
S6kII[D1]	FBal0194032	FBgn0262866	S6kII
srp[PZRV17]	FBal0056085	FBgn0003507	srp
ncm[2a2]	FBal0176364	FBgn0086707	ncm
CG11357[EY12484]	FBal0162581	FBgn0035558	CG11357
l(3)97Da[1.13]	FBal0031960	FBgn0013586	l(3)97Da
CG11752[e04370]	FBal0162532	FBgn0030292	CG11752
ftz-f1[2-2]	FBal0096924	FBgn0001078	ftz-f1
l(3)S098614[S098614]	FBal0129509	FBgn0060547	l(3)S098614
l(3)67BDa[10]	FBal0009726	FBgn0002203	l(3)67BDa
S[eQ10]	FBal0058277	FBgn0003310	S
Cpr72Eb[e03478]	FBal0162472	FBgn0036618	Cpr72Eb
Unc-76[GD11180]	FBal0208944	FBgn0040395	Unc-76
Mer[2]	FBal0061733	FBgn0086384	Mer
kn[unspecified]	FBal0092913	FBgn0001319	kn
Dame\Abruptex[1]	FBal0055092	FBgn0019555	Dame\Abruptex
l(2)42Bc[5CC1]	FBal0094500	FBgn0019702	l(2)42Bc
l(3)S138613a[S138613a]	FBal0129324	FBgn0060363	l(3)S138613a
Egfr[dsRNA.cVa]	FBal0124194	FBgn0003731	Egfr
RnrS[GD1944]	FBal0208313	FBgn0011704	RnrS
cg[k11504]	FBal0125097	FBgn0000289	cg
cact[Y11]	FBal0030714	FBgn0000250	cact
stau[3]	FBal0016166	FBgn0003520	stau
Ddc[22]	FBal0002271	FBgn0000422	Ddc
pros[V52]	FBal0125182	FBgn0004595	pros
CG3527[e04544]	FBal0162563	FBgn0029714	CG3527
CG9733[f03827]	FBal0160765	FBgn0039759	CG9733
l(2)SH1616[SH1616]	FBal0143632	FBgn0065395	l(2)SH1616
l(1)1Da[1]	FBal0006476	FBgn0001344	l(1)1Da
l(1)Q205[1]	FBal0007706	FBgn0011131	l(1)Q205
l(2)k00705[k07115]	FBal0064614	FBgn0022261	l(2)k00705
l(1)x[B5.3]	FBal0031620	FBgn0013521	l(1)x
l(3)ET18[1]	FBal0010853	FBgn0005222	l(3)ET18
dr[1]	unknown ID	-	-
l(1)C[1]	FBal0007427	FBgn0001582	l(1)C
grp[fsA4]	FBal0062815	FBgn0261278	grp
l(1)G0273[G0273]	FBal0100326	FBgn0028334	l(1)G0273
l(3)84Db[5]	FBal0010130	FBgn0004200	l(3)84Db
l(1)19Eg[B2.32.16]	FBal0082857	FBgn0023074	l(1)19Eg
oys[EY11713]	FBal0161987	FBgn0033476	oys
Moe[PG82]	FBal0130905	FBgn0011661	Moe
S[k09538a]	FBal0064267	FBgn0003310	S
cp[I5]	FBal0102770	FBgn0000354	cp
CG6962[f05936]	FBal0161090	FBgn0037958	CG6962
Bap170[G5986]	FBal0238926	FBgn0042085	Bap170
Pop2[GD12804]	FBal0208101	FBgn0036239	Pop2
Tor[R97C]	FBal0191560	FBgn0021796	Tor
vkg[sz-14]	FBal0008329	FBgn0016075	vkg
Scer\GAL4[AD.elav.T:Zzzz\ZipEERRLT:SV40\nls2]	unknown ID	-	-
Catsup[fs1]	FBal0008644	FBgn0002022	Catsup
Su(H)[IB115]	FBal0039061	FBgn0004837	Su(H)
pcm[2]	FBal0242029	FBgn0020261	pcm
brat[1]	FBal0001226	FBgn0010300	brat
Orct2[R161]	FBal0195379	FBgn0086365	Orct2
Arp3[515FC]	FBal0269076	FBgn0262716	Arp3
cos[7]	FBal0001777	FBgn0000352	cos
eIF-3p40[k09003]	FBal0064305	FBgn0022023	eIF-3p40
botv[103]	FBal0175758	FBgn0027535	botv
sd[11]	FBal0015357	FBgn0003345	sd
CycB[+t10]	FBal0094857	FBgn0000405	CycB
im[1]	FBal0005590	FBgn0001252	im
Ntl[EY05549]	FBal0161078	FBgn0267326	Ntl
eyg[PxA1]	FBal0179917	FBgn0000625	eyg
l(3)SG88[1]	FBal0011347	FBgn0005268	l(3)SG88
l(1)Q70[1]	FBal0007785	FBgn0011109	l(1)Q70
l(1)G0502[G0502]	FBal0151762	FBgn0067732	l(1)G0502
l(1)10Ea[4]	FBal0006087	FBgn0005431	l(1)10Ea
Khc[18]	FBal0101629	FBgn0001308	Khc
l(2)45Aj[3]	FBal0137183	FBgn0041127	l(2)45Aj
lola[00349]	FBal0044130	FBgn0005630	lola
l(2)k14810[k14822]	FBal0064090	FBgn0021845	l(2)k14810
l(3)S048606a[S048606a]	FBal0129821	FBgn0060849	l(3)S048606a
Cpsf160[VI]	FBal0089366	FBgn0024698	Cpsf160
l(3)85Dh[1]	FBal0010225	FBgn0004741	l(3)85Dh
Vha55[j2E9]	FBal0028379	FBgn0005671	Vha55
dup[k03308]	FBal0064556	FBgn0000996	dup
Dhyd\moc[1]	FBal0054500	FBgn0019102	Dhyd\moc
ct[14a2]	FBal0028080	FBgn0004198	ct
l(1)N23[1]	FBal0049750	FBgn0016845	l(1)N23
vir[23]	FBal0121494	FBgn0003977	vir
lqf[ARI]	FBal0104485	FBgn0028582	lqf
rdgB[V2]	FBal0050320	FBgn0003218	rdgB
Ca-alpha1D[unspecified]	FBal0033483	FBgn0001991	Ca-alpha1D
SkpE[GD17321]	FBal0210603	FBgn0031074	SkpE
Ir76b[05]	FBal0215532	FBgn0036937	Ir76b
bdg[90]	FBal0219014	FBgn0034049	bdg
l(2)k01209[GTD74-159-1]	FBal0122302	FBgn0022029	l(2)k01209
E(Mer)IIb[187]	FBal0124260	FBgn0044873	E(Mer)IIb
comm[5]	FBal0051696	FBgn0010105	comm
sav[shrp-2]	FBal0143235	FBgn0053193	sav
dlt[S059504]	FBal0096998	FBgn0024510	dlt
pch[l17]	FBal0082372	FBgn0005398	pch
dpp[d21]	FBal0003018	FBgn0000490	dpp
tld[E8]	FBal0040035	FBgn0003719	tld
l(2)NC148[NC148]	FBal0150405	FBgn0067371	l(2)NC148
nos[TCE8]	FBal0056401	FBgn0002962	nos
l(2)k04308[k04308]	FBal0064538	FBgn0022205	l(2)k04308
srpk79D[c00270]	unknown ID	-	-
yem[1]	FBal0248670	FBgn0005596	yem
l(3)67Aa[5]	FBal0009707	FBgn0002197	l(3)67Aa
dor[28]	FBal0002756	FBgn0000482	dor
Eip75B[5]	FBal0003589	FBgn0000568	Eip75B
h[20]	FBal0005337	FBgn0001168	h
Pc[unspecified]	FBal0058413	FBgn0003042	Pc
trol[27]	FBal0017072	FBgn0267911	trol
mit(1)2[1]	FBal0012310	FBgn0002752	mit(1)2
l(3)70Aa[7]	FBal0009901	FBgn0002273	l(3)70Aa
CG31731[f02254]	FBal0161749	FBgn0028539	CG31731
hig[f06695]	FBal0159157	FBgn0010114	hig
Acon[01705a]	FBal0221819	FBgn0010100	Acon
yip3[c02887]	FBal0158448	FBgn0040063	yip3
l(2)56Fg[1]	FBal0009117	FBgn0004705	l(2)56Fg
wg[Act5C.PS]	FBal0044464	FBgn0004009	wg
Atet[GD883]	FBal0198779	FBgn0020762	Atet
NimA[49j]	FBal0005637	FBgn0261514	NimA
mys[b66]	FBal0178712	FBgn0004657	mys
Blm[D2]	FBal0012662	FBgn0002906	Blm
Itgbetanu[BG01037]	unknown ID	-	-
shi[EM66]	FBal0039913	FBgn0003392	shi
Sxl[M3:d1]	FBal0045171	FBgn0264270	Sxl
fs(2)mel5[1]	FBal0004651	FBgn0004071	fs(2)mel5
Galphas[R79]	FBal0126528	FBgn0001123	Galphas
l(2)SH1602[SH1602]	FBal0143639	FBgn0065402	l(2)SH1602
ash1[13]	FBal0000745	FBgn0005386	ash1
CG30185[d11316]	FBal0161860	FBgn0050185	CG30185
dia[50]	FBal0091514	FBgn0011202	dia
H[1171]	FBal0120815	FBgn0001169	H
gammaTub23C[PI]	FBal0042357	FBgn0260639	gammaTub23C
tor[rv19]	FBal0016941	FBgn0003733	tor
ash1[26]	FBal0039147	FBgn0005386	ash1
wts[P15]	FBal0044491	FBgn0011739	wts
l(3)89Ca[2]	FBal0010589	FBgn0004760	l(3)89Ca
l(2)08770[k14404]	FBal0064526	FBgn0010652	l(2)08770
CG43102[PL00088]	FBal0161037	FBgn0262562	CG43102
CSN5[quo-1]	FBal0131314	FBgn0027053	CSN5
Rab6[D31B]	FBal0102888	FBgn0015797	Rab6
shakB[LB21]	FBal0046433	FBgn0085387	shakB
l(1)L4[1]	FBal0049724	FBgn0016818	l(1)L4
emc[25]	FBal0003700	FBgn0000575	emc
eRF1[709]	FBal0180039	FBgn0036974	eRF1
unk[OR20]	FBal0032978	FBgn0004395	unk
w[58a]	FBal0062365	FBgn0003996	w
misn[K243]	FBal0050152	FBgn0016916	misn
tay[EM34]	FBal0039473	FBgn0260938	tay
l(3)00643[s2541]	FBal0011156	FBgn0010724	l(3)00643
CCAP[EY15558]	FBal0184386	FBgn0039007	CCAP
pros[V61]	FBal0125175	FBgn0004595	pros
CG7149[EY10883]	FBal0161067	FBgn0031948	CG7149
l(2)N7-6[E67]	FBal0130140	FBgn0014260	l(2)N7-6
l(2)06496[k14618]	unknown ID	-	-
Dl[KX13]	FBal0002619	FBgn0000463	Dl
bi[D11]	FBal0061486	FBgn0000179	bi
rl[IR37]	FBal0063800	FBgn0003256	rl
l(2)25Ee[2]	FBal0008365	FBgn0001932	l(2)25Ee
Atpalpha[00462]	FBal0043635	FBgn0002921	Atpalpha
l(3)67BDc[4]	FBal0009748	FBgn0002205	l(3)67BDc
bsk[unspecified]	FBal0086703	FBgn0000229	bsk
l(2)46Ed[unspecified]	FBal0155084	FBgn0023039	l(2)46Ed
l(3)E7-3-58[1]	FBal0031988	FBgn0013609	l(3)E7-3-58
Diap1[5]	FBal0050595	FBgn0260635	Diap1
bowl[4]	FBal0051734	FBgn0004893	bowl
arm[PG120]	FBal0130509	FBgn0000117	arm
hth[CPTI000378]	FBal0262318	FBgn0001235	hth
sns[5]	FBal0046381	FBgn0024189	sns
fw[59]	FBal0004907	FBgn0001083	fw
l(4)102ABh[3]	FBal0011399	FBgn0004532	l(4)102ABh
Pab[1]	FBal0197933	FBgn0086883	Pab
ash2[1]	FBal0000757	FBgn0000139	ash2
l(2)37Fb[5]	FBal0008914	FBgn0002049	l(2)37Fb
l(1)14Ba[1]	FBal0006220	FBgn0001535	l(1)14Ba
l(1)ts996[1]	FBal0007879	FBgn0005474	l(1)ts996
Atg1[01413]	FBal0043622	FBgn0260945	Atg1
Mmus\Dnmt3b[betaTub85D.T:Ivir\HA1.His3.3B-3'UTR]	FBal0284149	FBgn0266063	Mmus\Dnmt3b
woc[B111]	FBal0212640	FBgn0010328	woc
l(2)25Be[1]	FBal0008279	FBgn0001918	l(2)25Be
simj[01814]	FBal0009427	FBgn0010762	simj
l(1)14Cc[XR27]	FBal0034830	FBgn0014196	l(1)14Cc
jing[k10314]	FBal0064783	FBgn0086655	jing
l(2)36Ca[1]	FBal0008569	FBgn0002006	l(2)36Ca
aph-1[AD25]	FBal0031664	FBgn0031458	aph-1
eff[mer1]	FBal0033634	FBgn0011217	eff
bip2[4]	FBal0239939	FBgn0026262	bip2
sge[1]	FBal0015478	FBgn0003370	sge
l(2)k07126[k07126]	FBal0064405	FBgn0022102	l(2)k07126
l(1)3Bf[13]	FBal0007024	FBgn0001410	l(1)3Bf
l(1)air3[1]	FBal0007417	FBgn0004479	l(1)air3
Sar1[05712]	FBal0009547	FBgn0038947	Sar1
Zw10[T12]	FBal0088806	FBgn0004643	Zw10
CG4538[LA00797]	FBal0185605	FBgn0038745	CG4538
l(3)68Cg[2]	FBal0009850	FBgn0002245	l(3)68Cg
neur[GAL4-A101]	FBal0120429	FBgn0002932	neur
CG30015[GSG4356]	FBal0220240	FBgn0050015	CG30015
HtrA2[IFD]	FBal0287645	FBgn0038233	HtrA2
scf[1]	FBal0243716	FBgn0025682	scf
pyd[C5]	FBal0059957	FBgn0262614	pyd
l(2)Sp14[1]	FBal0009347	FBgn0002171	l(2)Sp14
l(1)adl13[1]	FBal0007394	FBgn0005424	l(1)adl13
pie[H113]	FBal0154760	FBgn0005683	pie
l(2)45Am[1]	FBal0104526	FBgn0041124	l(2)45Am
out[1]	FBal0141004	FBgn0259834	out
su(Hw)[e7]	FBal0035733	FBgn0003567	su(Hw)
Itp-r83A[wc703]	FBal0156338	FBgn0010051	Itp-r83A
S(CycE[JP])43S1[43S1]	FBal0175972	FBgn0082621	S(CycE[JP])43S1
l(3)L1159[L1159]	FBal0032008	FBgn0013614	l(3)L1159
l(2)37Cb[ts1]	FBal0008742	FBgn0086444	l(2)37Cb
RpII15[GD4234]	FBal0208326	FBgn0004855	RpII15
Gld[n1]	FBal0005106	FBgn0001112	Gld
Gem3[B-rev]	FBal0220798	FBgn0011802	Gem3
Noa36[EY11217]	FBal0160131	FBgn0026400	Noa36
Dl[RF]	FBal0029364	FBgn0000463	Dl
lab[PL00449]	FBal0159011	FBgn0002522	lab
Gl[l10]	unknown ID	-	-
S[k06921]	FBal0042732	FBgn0003310	S
l(3)S134415b[S134415b]	FBal0129345	FBgn0060384	l(3)S134415b
CG31077[f01593]	FBal0161823	FBgn0051077	CG31077
CG30414[e03801]	FBal0161844	FBgn0050414	CG30414
whd[11]	FBal0243394	FBgn0261862	whd
vtd[2]	FBal0018065	FBgn0260987	vtd
l(1)3Bc[8]	FBal0006986	FBgn0001408	l(1)3Bc
l(1)10Bo[1]	FBal0006052	FBgn0005403	l(1)10Bo
mRpL19[03]	FBal0215530	FBgn0037608	mRpL19
cpa[43D]	FBal0193691	FBgn0034577	cpa
dp[dvM516]	unknown ID	-	-
l(3)3450-A[B1]	FBal0137174	FBgn0063422	l(3)3450-A
Nipped-B[NC77]	FBal0244682	FBgn0026401	Nipped-B
DNApol-alpha60[L5]	FBal0103074	FBgn0259676	DNApol-alpha60
Mkk4[G673]	FBal0265730	FBgn0024326	Mkk4
l(1)19Fb[3]	FBal0006318	FBgn0001562	l(1)19Fb
l(1)1Bc[4]	FBal0006409	FBgn0001338	l(1)1Bc
amd[31]	FBal0000480	FBgn0000075	amd
Fcp3C[e04212]	FBal0160473	FBgn0000644	Fcp3C
ttk[02667]	FBal0017204	FBgn0003870	ttk
l(1)R[s+]	FBal0031599	FBgn0013505	l(1)R
da[f75]	FBal0138283	FBgn0267821	da
CG9996[e03446]	FBal0160740	FBgn0039273	CG9996
2L2845[2L2845]	FBal0219186	FBgn0260598	2L2845
S[SCP1]	FBal0048975	FBgn0003310	S
unc-104[bris]	FBal0194504	FBgn0267002	unc-104
l(3)S143907[S143907]	FBal0129303	FBgn0060342	l(3)S143907
ltl[2]	FBal0256897	FBgn0268063	ltl
PsGEF[Delta55]	FBal0221616	FBgn0264598	PsGEF
polybromo[EY14730]	FBal0162577	FBgn0039227	polybromo
Egfr[top-CA]	FBal0033666	FBgn0003731	Egfr
egh[3]	FBal0006833	FBgn0001404	egh
hyd[C017]	FBal0159149	FBgn0002431	hyd
Fbxl7[MI04292]	Fbxl7[MI04292]	-	-
dp[olvDG63]	unknown ID	-	-
w[Ee22]	FBal0059727	FBgn0003996	w
dsx[hs.PM]	FBal0031141	FBgn0000504	dsx
raw[k16002]	FBal0064695	FBgn0003209	raw
l(1)ESHS29[1]	FBal0007546	FBgn0001708	l(1)ESHS29
Ndae1[k10316]	FBal0064211	FBgn0259111	Ndae1
l(3)03077[03077]	FBal0009461	FBgn0010793	l(3)03077
dimm[EY14636]	FBal0159325	FBgn0023091	dimm
Vago[DeltaM10]	FBal0221076	FBgn0030262	Vago
trol[M23]	FBal0088568	FBgn0267911	trol
l(1)Q30[1]	FBal0007748	FBgn0011076	l(1)Q30
hth[hs.PP]	FBal0089222	FBgn0001235	hth
bb[l2]	FBal0001052	FBgn0000164	bb
Pka-C1[C2]	FBal0033956	FBgn0000273	Pka-C1
sax[2]	FBal0015143	FBgn0003317	sax
run[M113]	FBal0088668	FBgn0003300	run
Mvl[97f]	FBal0042677	FBgn0011672	Mvl
ash1[12]	FBal0000742	FBgn0005386	ash1
trx[7.1]	FBal0096651	FBgn0003862	trx
RasGAP1[deltaB4]	FBal0038841	FBgn0004390	RasGAP1
Sos[eCS3]	FBal0058215	FBgn0001965	Sos
shi[12.12B]	FBal0082269	FBgn0003392	shi
mod[5.1]	FBal0032162	FBgn0002780	mod
CG7091[f05023]	FBal0161075	FBgn0038099	CG7091
l(3)S042834a[S042834a]	FBal0129881	FBgn0060910	l(3)S042834a
en[7]	FBal0003722	FBgn0000577	en
Zw10[11]	FBal0012300	FBgn0004643	Zw10
ash1[31]	FBal0039151	FBgn0005386	ash1
sd-9[28]	FBal0151507	FBgn0067647	sd-9
PI4KIIIalpha[42]	FBal0006906	FBgn0267350	PI4KIIIalpha
crb[D88-3]	FBal0030952	FBgn0259685	crb
l(2)SH1314[SH1314]	FBal0143711	FBgn0065474	l(2)SH1314
D[65]	FBal0045119	FBgn0000411	D
Tsp42Ef[GSG5255]	FBal0220241	FBgn0033127	Tsp42Ef
l(3)S063813[S063813]	FBal0100053	FBgn0028116	l(3)S063813
l(3)72Ab[Z2850]	FBal0284498	FBgn0263599	l(3)72Ab
PSR[FM1]	FBal0219088	FBgn0038948	PSR
l(3)65CEb[A99]	FBal0043733	FBgn0015498	l(3)65CEb
l(2)44Ff[1]	FBal0104564	FBgn0041136	l(2)44Ff
crt[1]	FBal0001862	FBgn0000378	crt
svr[8]	FBal0016620	FBgn0004648	svr
pros[JO1]	FBal0039821	FBgn0004595	pros
CycA[S144911]	FBal0083563	FBgn0000404	CycA
Nlp[CC01224]	FBal0211712	FBgn0016685	Nlp
snRNP-U1-C[GD11660]	FBal0204688	FBgn0261792	snRNP-U1-C
mew[H10]	FBal0044183	FBgn0004456	mew
Pu[rZ22]	FBal0014058	FBgn0003162	Pu
CG31211[02]	FBal0215555	FBgn0051211	CG31211
beta-Spec[em12]	FBal0117940	FBgn0250788	beta-Spec
l(1)TS45[1]	FBal0007857	FBgn0001827	l(1)TS45
Nbr[EY04057]	FBal0160831	FBgn0032924	Nbr
B52[R2]	FBal0059378	FBgn0004587	B52
sd-11[19]	FBal0151539	FBgn0067656	sd-11
l(2)25Fd[1]	FBal0008384	FBgn0001938	l(2)25Fd
fkh[4]	FBal0004010	FBgn0000659	fkh
nonC[11-2-10B]	FBal0276955	FBgn0263968	nonC
l(2)F42[unspecified]	FBal0062761	FBgn0020838	l(2)F42
Su(var)2-HP2[Q2885X]	FBal0193338	FBgn0026427	Su(var)2-HP2
l(3)93Bb[8]	FBal0010716	FBgn0002380	l(3)93Bb
Sgt1[c01428]	FBal0220511	FBgn0265101	Sgt1
MAPk-Ak2[Delta41]	FBal0267166	FBgn0013987	MAPk-Ak2
Nbr[f02257]	FBal0184635	FBgn0032924	Nbr
l(1)1EFa[4]	FBal0006519	FBgn0001352	l(1)1EFa
CG4554[GD10709]	FBal0204303	FBgn0034734	CG4554
eya[D493N.GR]	FBal0285426	FBgn0000320	eya
dia[3]	FBal0039244	FBgn0011202	dia
l(2)SH0770[SH0770]	FBal0143872	FBgn0065635	l(2)SH0770
l(1)1Bi[6]	FBal0006454	FBgn0001341	l(1)1Bi
Hr38[g7]	FBal0104128	FBgn0014859	Hr38
Trf2[GD4168]	FBal0208843	FBgn0261793	Trf2
l(3)68Fh[V111-132]	FBal0057082	FBgn0019693	l(3)68Fh
kibra[j5C3]	FBal0010969	FBgn0262127	kibra
ppk11[f02053]	FBal0158781	FBgn0065109	ppk11
l(3)82Ea[T28]	FBal0092857	FBgn0025487	l(3)82Ea
wun[k16806]	FBal0051411	FBgn0016078	wun
rt[12a]	FBal0215476	FBgn0003292	rt
Adf1[k00620]	FBal0064734	FBgn0000054	Adf1
sno[3]	FBal0015916	FBgn0265630	sno
AGO2[51B]	FBal0162854	FBgn0087035	AGO2
f[G]	FBal0062850	FBgn0262111	f
sl[2]	FBal0015678	FBgn0003416	sl
mesA[3]	FBal0012209	FBgn0002720	mesA
CG3735[GD11059]	FBal0204058	FBgn0034933	CG3735
H[1]	FBal0005292	FBgn0001169	H
Ent2[3]	FBal0265150	FBgn0263916	Ent2
l(3)j9A5[j9A5]	FBal0011002	FBgn0011414	l(3)j9A5
X-75-9[X-75-9]	FBal0155679	FBgn0069305	X-75-9
l(2)k09501[k09501]	FBal0064270	FBgn0021996	l(2)k09501
Pabp2[CC00380]	FBal0211716	FBgn0005648	Pabp2
Sdc[EY07208]	FBal0159763	FBgn0010415	Sdc
bcd[16]	FBal0001090	FBgn0000166	bcd
l(3)S024535b[S024535b]	FBal0100134	FBgn0028180	l(3)S024535b
pico[k1]	FBal0243031	FBgn0261811	pico
RpII140[Z20]	FBal0030134	FBgn0262955	RpII140
l(2)37Bi[3]	FBal0008666	FBgn0002027	l(2)37Bi
Rabex-5[ex42]	FBal0246624	FBgn0262937	Rabex-5
dm[1]	unknown ID	-	-
psq[EY13993]	FBal0158773	FBgn0263102	psq
l(2)SH0474[SH0474]	FBal0144002	FBgn0065765	l(2)SH0474
l(2)35Bd[5]	FBal0008483	FBgn0001974	l(2)35Bd
Su(Mir)2[1E3-5]	FBal0266760	FBgn0264276	Su(Mir)2
shtd[GD14150]	FBal0210576	FBgn0004391	shtd
Scm[P23]	FBal0048999	FBgn0003334	Scm
aurA[1]	FBal0000799	FBgn0000147	aurA
cnn[mfs8]	FBal0098269	FBgn0013765	cnn
CG3719[EY14694]	FBal0185728	FBgn0024986	CG3719
siz[l(3)3]	FBal0175489	FBgn0026179	siz
msn[00817]	FBal0043688	FBgn0010909	msn
CG12259[GD7551]	FBal0199748	FBgn0039557	CG12259
Pak[6]	FBal0098342	FBgn0267698	Pak
VhaPPA1-1[EP3504]	FBal0155713	FBgn0028662	VhaPPA1-1
l(2)DB4[1]	FBal0057100	FBgn0014256	l(2)DB4
gd[4]	FBal0005012	FBgn0000808	gd
sda[EY11539]	FBal0158689	FBgn0015541	sda
l(3)L1022[L1022]	FBal0086990	FBgn0024533	l(3)L1022
ct[268-15]	FBal0028110	FBgn0004198	ct
l(2)k07308[k07310]	FBal0064392	FBgn0022091	l(2)k07308
Ubx[hs.PG]	FBal0030365	FBgn0003944	Ubx
l(2)46De[382]	FBal0039569	FBgn0014989	l(2)46De
Fbxl7[d08178]	Fbxl7[d08178]	-	-
tsu[3]	FBal0127861	FBgn0033378	tsu
sd[13]	FBal0015359	FBgn0003345	sd
SkpA[G49]	FBal0143216	FBgn0025637	SkpA
wapl[56]	FBal0018432	FBgn0004655	wapl
Rsp[i32]	FBal0014788	FBgn0003284	Rsp
osa[00090]	FBal0009367	FBgn0261885	osa
l(2)me[1]	FBal0009285	FBgn0002154	l(2)me
Cenp-C[SH157]	FBal0294004	FBgn0266916	Cenp-C
l(3)98Dc[M318]	FBal0062744	FBgn0020824	l(3)98Dc
l(2)37Fd[2]	FBal0008926	FBgn0002051	l(2)37Fd
N[81k8]	FBal0012736	FBgn0004647	N
eys[5]	FBal0193680	FBgn0031414	eys
Oct-TyrR[PL00460]	FBal0159575	FBgn0004514	Oct-TyrR
l(1)Mc35[1]	FBal0007673	FBgn0001805	l(1)Mc35
l(3)62Bb[2]	FBal0009639	FBgn0002178	l(3)62Bb
run[unspecified]	FBal0046385	FBgn0003300	run
PI4KIIIalpha[30]	FBal0006894	FBgn0267350	PI4KIIIalpha
Su(var)3-2[2]	FBal0016520	FBgn0003593	Su(var)3-2
mas[x124]	FBal0044172	FBgn0011653	mas
l(3)99Dj[4]	FBal0010795	FBgn0002409	l(3)99Dj
bip2[3]	FBal0239938	FBgn0026262	bip2
phyl[1]	FBal0044254	FBgn0013725	phyl
E(w[a])829[E829]	FBal0059020	FBgn0020052	E(w[a])829
CG8963[BG02470]	FBal0195631	FBgn0034181	CG8963
l(2)24CDb[E9]	FBal0043501	FBgn0015455	l(2)24CDb
l(3)03670[S035313]	FBal0099897	FBgn0010808	l(3)03670
