# submitted_id	current_id	converted_id	current_symbol
Dfd::Ubx[S1.hs]	FBal0065281	FBgn0012300	Dfd::Ubx
emc[ip12]	FBal0051622	FBgn0000575	emc
CG7202[c02567]	FBal0161060	FBgn0037086	CG7202
Dsub\D[Va4]	FBal0053253	FBgn0018210	Dsub\D
srp[PZRV4]	FBal0056074	FBgn0003507	srp
l(2)IR24[IR24]	FBal0064647	FBgn0022282	l(2)IR24
wupA[PG31]	FBal0128960	FBgn0283471	wupA
vas[unspecified]	FBal0035897	FBgn0283442	vas
asp[DD6]	FBal0045367	FBgn0000140	asp
l(3)66EFf[L9]	FBal0120455	FBgn0043480	l(3)66EFf
rey[3]	FBal0014549	FBgn0003240	rey
l(2)k04003[k04003]	FBal0064545	FBgn0022210	l(2)k04003
CG9650[PG75]	FBal0131326	FBgn0029939	CG9650
sc[260-22]	FBal0015218	FBgn0004170	sc
cin[3]	FBal0001664	FBgn0000316	cin
alpha-Spec[2]	FBal0000002	FBgn0250789	alpha-Spec
Fs(3)Zol[1]	FBal0004784	FBgn0001072	Fs(3)Zol
l(3)S081003[S122501]	FBal0100017	FBgn0028091	l(3)S081003
hb[6]	FBal0005397	FBgn0001180	hb
Oamb[309]	FBal0152343	FBgn0024944	Oamb
AGO1[k08121]	FBal0064343	FBgn0262739	AGO1
l(2)SH0355[SH0355]	FBal0144065	FBgn0065828	l(2)SH0355
l(3)L4092[L4092]	FBal0087010	FBgn0024553	l(3)L4092
Dll[1]	FBal0000999	FBgn0000157	Dll
msl-2[CA-3]	FBal0082434	FBgn0005616	msl-2
dp[olCS80]	unknown ID	-	-
bun[EY11024]	FBal0159437	FBgn0259176	bun
CtBP[87De-15]	FBal0010485	FBgn0020496	CtBP
Zw10[abe]	FBal0039654	FBgn0004643	Zw10
E(z)[1]	FBal0003380	FBgn0000629	E(z)
CG5800[GD11773]	FBal0204824	FBgn0030855	CG5800
l(3)92Aa[5]	FBal0010699	FBgn0002372	l(3)92Aa
l(2)SH0444[SH0444]	FBal0144017	FBgn0065780	l(2)SH0444
CG32425[EY01916]	FBal0161648	FBgn0052425	CG32425
pros[W]	FBal0039823	FBgn0004595	pros
mRpL15[H5]	FBal0102852	FBgn0036990	mRpL15
Rat1[GD6954]	FBal0199001	FBgn0031868	Rat1
l(2)k11512[k11512]	FBal0035093	FBgn0014273	l(2)k11512
Dscam1[EY08820]	FBal0160596	FBgn0033159	Dscam1
l(1)16-1-27[16-1-27]	FBal0151807	FBgn0067765	l(1)16-1-27
oho55DE[k13104]	FBal0063832	FBgn0014263	oho55DE
l(2)SH0153[SH0153]	FBal0144159	FBgn0065922	l(2)SH0153
gl[4]	FBal0005043	FBgn0004618	gl
Hsf[GD4464]	FBal0207336	FBgn0001222	Hsf
Den1[EX9]	FBal0220531	FBgn0033716	Den1
l(3)S029910[S106414]	FBal0082743	FBgn0023015	l(3)S029910
cu[3]	FBal0243014	FBgn0261808	cu
ldbr[d00740]	FBal0160971	FBgn0035838	ldbr
RpS6[hen1]	FBal0030171	FBgn0261592	RpS6
Ih[1]	FBal0268935	FBgn0263397	Ih
CSN5[ex9]	FBal0145143	FBgn0027053	CSN5
Rm62[01086]	FBal0009400	FBgn0003261	Rm62
l(1)9Fj[G19]	FBal0043279	FBgn0015450	l(1)9Fj
Nup160[EP372M26]	FBal0277103	FBgn0262647	Nup160
ptg[VAM201]	FBal0032521	FBgn0003158	ptg
l(3)AFA7[1]	FBal0010804	FBgn0011046	l(3)AFA7
l(1)7Ci[11-117]	FBal0043261	FBgn0015442	l(1)7Ci
DCP1[EY16846]	FBal0215895	FBgn0034921	DCP1
RpII15[Z23]	FBal0030151	FBgn0004855	RpII15
smp[1]	FBal0015767	FBgn0003445	smp
mth[1]	FBal0094387	FBgn0023000	mth
sr[155]	FBal0032779	FBgn0003499	sr
gy[1]	FBal0005291	FBgn0001166	gy
r[M10]	FBal0014320	FBgn0003189	r
l(1)10Fh[1]	FBal0006129	FBgn0001514	l(1)10Fh
S(CycE[JP])E9S1[E9S1]	FBal0175967	FBgn0082616	S(CycE[JP])E9S1
BG02348[BG02348]	FBal0195626	FBgn0086398	BG02348
B[M2]	FBal0000846	FBgn0000154	B
l(2)MV[1]	FBal0009287	FBgn0002156	l(2)MV
grh[380]	FBal0045817	FBgn0259211	grh
CRAT[e01463]	FBal0162691	FBgn0037440	CRAT
Ecol\lacZ[p115-PL17]	FBal0131075	FBgn0014447	Ecol\lacZ
mys[b30]	FBal0178750	FBgn0004657	mys
tws[S066813]	FBal0129709	FBgn0004889	tws
Atx2[GD11562]	FBal0198800	FBgn0041188	Atx2
tsg[W4]	FBal0121500	FBgn0003865	tsg
lace[10]	FBal0011558	FBgn0002524	lace
l(2)04535b[k09819]	FBal0064714	FBgn0010580	l(2)04535b
gl(2L)137-8[2L-137-8]	FBal0155245	FBgn0069235	gl(2L)137-8
Brd[PI2]	FBal0001284	FBgn0000216	Brd
rk[11P]	FBal0059949	FBgn0003255	rk
Smn[f05960]	FBal0158871	FBgn0036641	Smn
hk[14]	unknown ID	-	-
Mef2[30-5]	FBal0156253	FBgn0011656	Mef2
step[SH0323]	FBal0144079	FBgn0086779	step
rags[1]	FBal0014394	FBgn0003198	rags
br[11]	FBal0001198	FBgn0283451	br
SmD3[DeltaLR51]	FBal0144569	FBgn0023167	SmD3
Nup107[E8]	FBal0244137	FBgn0027868	Nup107
Rip11[G0070]	FBal0098211	FBgn0027335	Rip11
l(2)W14[unspecified]	FBal0101326	FBgn0028611	l(2)W14
