#SUBMITTED ID	FBID_KEY	CLASSICAL_ALLELES	GENE_MODEL_STATUS	SPECIES	SYMBOL
2L2468	FBgn0260612	2L2468[2L2468]	Unannotated	melanogaster	2L2468
2L2475	FBgn0260592	2L2475[2L2475] <newline> 2L2475[2L1665]	Unannotated	melanogaster	2L2475
2L2526	FBgn0260072	2L2526[2L2526]	Unannotated	melanogaster	2L2526
2L2572	FBgn0260068	2L2572[2L2572]	Unannotated	melanogaster	2L2572
2L2615	FBgn0260609	2L2615[2L2615]	Unannotated	melanogaster	2L2615
2L2648	FBgn0260054	2L2648[2L2648]	Unannotated	melanogaster	2L2648
2L2653	FBgn0260593	2L2653[2L2653]	Unannotated	melanogaster	2L2653
2L2676	FBgn0260091	2L2676[2L2676]	Unannotated	melanogaster	2L2676
2L2677	FBgn0260586	2L2677[2L2677]	Unannotated	melanogaster	2L2677
2L2686	FBgn0260622	2L2686[2L2686]	Unannotated	melanogaster	2L2686
2L2718	FBgn0260599	2L2718[2L2718]	Unannotated	melanogaster	2L2718
2L2769	FBgn0260092	2L2769[2L2769]	Unannotated	melanogaster	2L2769
2L2775	FBgn0260600	2L2775[2L2775]	Unannotated	melanogaster	2L2775
2L2798	FBgn0260621	2L2798[2L2798]	Unannotated	melanogaster	2L2798
2L2806	FBgn0260107	2L2806[2L2806]	Unannotated	melanogaster	2L2806
2L2816	FBgn0260061	2L2816[2L2816]	Unannotated	melanogaster	2L2816
2L2828	FBgn0260595	2L2828[2L2828]	Unannotated	melanogaster	2L2828
2L2834	FBgn0260620	2L2834[2L2834]	Unannotated	melanogaster	2L2834
2L2845	FBgn0260598	2L2845[2L2845]	Unannotated	melanogaster	2L2845
2L2853	FBgn0260120	2L2853[2L2853]	Unannotated	melanogaster	2L2853
2L2870	FBgn0260585	2L2870[2L2870]	Unannotated	melanogaster	2L2870
2L2921	FBgn0260604	2L2921[2L2921]	Unannotated	melanogaster	2L2921
2L2938	FBgn0260608	2L2938[2L2938]	Unannotated	melanogaster	2L2938
2L2944	FBgn0260112	2L2944[2L2944]	Unannotated	melanogaster	2L2944
2L2953	FBgn0260060	2L2953[2L2953]	Unannotated	melanogaster	2L2953
2L2983	FBgn0260619	2L2983[2L2983]	Unannotated	melanogaster	2L2983
2L2985	FBgn0260596	2L2985[2L2985]	Unannotated	melanogaster	2L2985
2L3011	FBgn0260610	2L3011[2L3011]	Unannotated	melanogaster	2L3011
2L3047	FBgn0260108	2L3047[2L3047]	Unannotated	melanogaster	2L3047
2L3064	FBgn0260615	2L3064[2L3064]	Unannotated	melanogaster	2L3064
2L3073	FBgn0260597	2L3073[2L3073]	Unannotated	melanogaster	2L3073
2L3081	FBgn0260590	2L3081[2L3081]	Unannotated	melanogaster	2L3081
2L3090	FBgn0260093	2L3090[2L3090]	Unannotated	melanogaster	2L3090
2L3120	FBgn0260118	2L3120[2L3120]	Unannotated	melanogaster	2L3120
2L3179	FBgn0260084	2L3179[2L3179]	Unannotated	melanogaster	2L3179
2L3186	FBgn0260588	2L3186[2L3186]	Unannotated	melanogaster	2L3186
2L3189	FBgn0260589	2L3189[2L3189]	Unannotated	melanogaster	2L3189
2L3191	FBgn0260104	2L3191[2L3191]	Unannotated	melanogaster	2L3191
2L3193	FBgn0260109	2L3193[2L3193]	Unannotated	melanogaster	2L3193
2L3194	FBgn0260616	2L3194[2L3194]	Unannotated	melanogaster	2L3194
2L3244	FBgn0260095	2L3244[2L3244]	Unannotated	melanogaster	2L3244
2L3267	FBgn0260584	2L3267[2L3267]	Unannotated	melanogaster	2L3267
2L3298	FBgn0260591	2L3298[2L3298]	Unannotated	melanogaster	2L3298
2L3301	FBgn0260055	2L3301[2L3301]	Unannotated	melanogaster	2L3301
2L3311	FBgn0260063	2L3311[2L3311]	Unannotated	melanogaster	2L3311
2L3328	FBgn0260623	2L3328[2L3328]	Unannotated	melanogaster	2L3328
2L3390	FBgn0260069	2L3390[2L3390]	Unannotated	melanogaster	2L3390
2L3393	FBgn0260110	2L3393[2L3393]	Unannotated	melanogaster	2L3393
2L3443	FBgn0260099	2L3443[2L3443]	Unannotated	melanogaster	2L3443
2L3456	FBgn0260052	2L3456[2L3456]	Unannotated	melanogaster	2L3456
2L3500	FBgn0260064	2L3500[2L3500]	Unannotated	melanogaster	2L3500
2L3547	FBgn0260062	2L3547[2L3547]	Unannotated	melanogaster	2L3547
2L3569	FBgn0260073	2L3569[2L3569]	Unannotated	melanogaster	2L3569
2L3642	FBgn0260066	2L3642[2L3642]	Unannotated	melanogaster	2L3642
2L3651	FBgn0260078	2L3651[2L3651]	Unannotated	melanogaster	2L3651
2L3696	FBgn0260085	2L3696[2L3696]	Unannotated	melanogaster	2L3696
2L3707	FBgn0260090	2L3707[2L3707]	Unannotated	melanogaster	2L3707
2L3807	FBgn0260113	2L3807[2L3807]	Unannotated	melanogaster	2L3807
2L3908	FBgn0260065	2L3908[2L3908]	Unannotated	melanogaster	2L3908
2L3910	FBgn0260086	2L3910[2L3910]	Unannotated	melanogaster	2L3910
2L3918	FBgn0260056	2L3918[2L3918]	Unannotated	melanogaster	2L3918
2L3937	FBgn0260057	2L3937[2L3937]	Unannotated	melanogaster	2L3937
2L3948	FBgn0260074	2L3948[2L3948]	Unannotated	melanogaster	2L3948
2L4081	FBgn0260058	2L4081[2L4081]	Unannotated	melanogaster	2L4081
2L4105	FBgn0260114	2L4105[2L4105]	Unannotated	melanogaster	2L4105
2L4117	FBgn0260119	2L4117[2L4117]	Unannotated	melanogaster	2L4117
2L4155	FBgn0260116	2L4155[2L4155]	Unannotated	melanogaster	2L4155
2L4332	FBgn0260050	2L4332[2L4332]	Unannotated	melanogaster	2L4332
2L4333	FBgn0260087	2L4333[2L4333]	Unannotated	melanogaster	2L4333
2L4449	FBgn0260051	2L4449[2L4449]	Unannotated	melanogaster	2L4449
2L4508	FBgn0260079	2L4508[2L4508]	Unannotated	melanogaster	2L4508
2L4515	FBgn0260115	2L4515[2L4515]	Unannotated	melanogaster	2L4515
2L4744	FBgn0260076	2L4744[2L4744]	Unannotated	melanogaster	2L4744
2L4771	FBgn0260105	2L4771[2L4771]	Unannotated	melanogaster	2L4771
2L883	FBgn0260614	2L883[2L883]	Unannotated	melanogaster	2L883
2R-F	FBgn0021755	2R-F[2R-22]	Unannotated	melanogaster	2R-F
2R-L	FBgn0021754	2R-L[84-2]	Unannotated	melanogaster	2R-L
2mit	FBgn0260793	2mit[MI05471] <newline> 2mit[c03963] <newline> 2mit[MI09935]	Current	melanogaster	2mit
3.1.38	FBgn0084937	3.1.38[3.1.38]	Unannotated	melanogaster	3.1.38
30-Jan - unknown ID - please use IDConverter
312 - unknown ID - please use IDConverter
31B8	FBgn0027097	31B8[31B8]	Unannotated	melanogaster	31B8
32C40	FBgn0260035	32C40[32C40]	Unannotated	melanogaster	32C40
33AA12	FBgn0260038	33AA12[33AA12]	Unannotated	melanogaster	33AA12
33AA14	FBgn0260046	33AA14[33AA14]	Unannotated	melanogaster	33AA14
33AC1	FBgn0260047	33AC1[33AC1]	Unannotated	melanogaster	33AC1
33N15	FBgn0260043	33N15[33N15]	Unannotated	melanogaster	33N15
33Q1	FBgn0260036	33Q1[33Q1]	Unannotated	melanogaster	33Q1
33R11	FBgn0260045	33R11[33R11]	Unannotated	melanogaster	33R11
33R6	FBgn0260044	33R6[33R6]	Unannotated	melanogaster	33R6
33W1	FBgn0260037	33W1[33W1]	Unannotated	melanogaster	33W1
3Cy(2)2	FBgn0028551	3Cy(2)2[1]	Unannotated	melanogaster	3Cy(2)2
3F43	FBgn0067329	3F43[unspecified]	Unannotated	melanogaster	3F43
3L-200-14	FBgn0070049	3L-200-14[3L-200-14]	Unannotated	melanogaster	3L-200-14
3L-211-27	FBgn0070048	3L-211-27[3L-211-27]	Unannotated	melanogaster	3L-211-27
3L-215-13	FBgn0070047	3L-215-13[3L-215-13]	Unannotated	melanogaster	3L-215-13
3L-61-3	FBgn0070046	3L-61-3[3L-61-3]	Unannotated	melanogaster	3L-61-3
3L-B	FBgn0021753	3L-B[3L-27]	Unannotated	melanogaster	3L-B
3N5	FBgn0067328	3N5[3N5]	Unannotated	melanogaster	3N5
3R-168-17	FBgn0070045	3R-168-17[3R-168-17]	Unannotated	melanogaster	3R-168-17
3R-196-22	FBgn0070044	3R-196-22[3R-196-22]	Unannotated	melanogaster	3R-196-22
3R-259-18	FBgn0070043	3R-259-18[3R-259-18]	Unannotated	melanogaster	3R-259-18
3R-31-22	FBgn0070042	3R-31-22[3R-31-22]	Unannotated	melanogaster	3R-31-22
3R-35-29	FBgn0070041	3R-35-29[3R-35-29]	Unannotated	melanogaster	3R-35-29
3R-40-7	FBgn0070040	3R-40-7[3R-40-7]	Unannotated	melanogaster	3R-40-7
3R-64-22	FBgn0070039	3R-64-22[3R-64-22]	Unannotated	melanogaster	3R-64-22
3R-64-33	FBgn0070038	3R-64-33[3R-64-33]	Unannotated	melanogaster	3R-64-33
